"OTU1"	"OTU2"	"OTU3"	"OTU4"	"OTU5"	"OTU6"	"OTU7"	"OTU8"	"OTU9"	"OTU10"	"OTU11"	"OTU12"	"OTU13"	"OTU14"	"OTU15"	"OTU16"	"OTU17"	"OTU18"	"OTU19"	"OTU20"	"OTU21"	"OTU22"	"OTU23"	"OTU24"	"OTU25"	"OTU26"	"OTU27"	"OTU28"	"OTU29"	"OTU30"	"OTU31"	"OTU32"	"OTU33"	"OTU34"	"OTU35"	"OTU36"	"OTU37"	"OTU38"	"OTU39"	"OTU40"	"OTU41"	"OTU42"	"OTU43"	"OTU44"	"OTU45"	"OTU46"	"OTU47"	"OTU48"	"OTU49"	"OTU50"	"OTU51"	"OTU52"	"OTU53"	"OTU54"	"OTU55"	"OTU56"	"OTU57"	"OTU58"	"OTU59"	"OTU60"	"OTU61"	"OTU62"	"OTU63"	"OTU64"	"OTU65"	"OTU66"	"OTU67"	"OTU68"	"OTU69"	"OTU70"	"OTU71"	"OTU72"	"OTU73"	"OTU74"	"OTU75"	"OTU76"	"OTU77"	"OTU78"	"OTU79"	"OTU80"	"OTU81"	"OTU82"	"OTU83"	"OTU84"	"OTU85"	"OTU86"	"OTU87"	"OTU88"	"OTU89"	"OTU90"	"OTU91"	"OTU92"	"OTU93"	"OTU94"	"OTU95"	"OTU96"	"OTU97"	"OTU98"	"OTU99"	"OTU100"	"OTU101"	"OTU102"	"OTU103"	"OTU104"	"OTU105"	"OTU106"	"OTU107"	"OTU108"	"OTU109"	"OTU110"	"OTU111"	"OTU112"	"OTU113"	"OTU114"	"OTU115"	"OTU116"	"OTU117"	"OTU118"	"OTU119"	"OTU120"	"OTU121"	"OTU122"	"OTU123"	"OTU124"	"OTU125"	"OTU126"	"OTU127"	"OTU128"	"OTU129"	"OTU130"	"OTU131"	"OTU132"	"OTU133"	"OTU134"	"OTU135"	"OTU136"	"OTU137"	"OTU138"	"OTU139"	"OTU140"	"OTU141"	"OTU142"	"OTU143"	"OTU144"	"OTU145"	"OTU146"	"OTU147"	"OTU148"	"OTU149"	"OTU150"	"OTU151"	"OTU152"	"OTU153"	"OTU154"	"OTU155"	"OTU156"	"OTU157"	"OTU158"	"OTU159"	"OTU160"	"OTU161"	"OTU162"	"OTU163"	"OTU164"	"OTU165"	"OTU166"	"OTU167"	"OTU168"	"OTU169"	"OTU170"	"OTU171"	"OTU172"	"OTU173"	"OTU174"	"OTU175"	"OTU176"	"OTU177"	"OTU178"	"OTU179"	"OTU180"	"OTU181"	"OTU182"	"OTU183"	"OTU184"	"OTU185"	"OTU186"	"OTU187"	"OTU188"	"OTU189"	"OTU190"	"OTU191"	"OTU192"	"OTU193"	"OTU194"	"OTU195"	"OTU196"	"OTU197"	"OTU198"	"OTU199"	"OTU200"	"OTU201"	"OTU202"	"OTU203"	"OTU204"	"OTU205"	"OTU206"	"OTU207"	"OTU208"	"OTU209"	"OTU210"	"OTU211"	"OTU212"	"OTU213"	"OTU214"	"OTU215"	"OTU216"	"OTU217"	"OTU218"	"OTU219"	"OTU220"	"OTU221"	"OTU222"	"OTU223"	"OTU224"	"OTU225"	"OTU226"	"OTU227"	"OTU228"	"OTU229"	"OTU230"	"OTU231"	"OTU232"	"OTU233"	"OTU234"	"OTU235"	"OTU236"	"OTU237"	"OTU238"	"OTU239"	"OTU240"	"OTU241"	"OTU242"	"OTU243"	"OTU244"	"OTU245"	"OTU246"	"OTU247"	"OTU248"	"OTU249"	"OTU250"	"OTU251"	"OTU252"	"OTU253"	"OTU254"	"OTU255"	"OTU256"	"OTU257"	"OTU258"	"OTU259"	"OTU260"	"OTU261"	"OTU262"	"OTU263"	"OTU264"	"OTU265"	"OTU266"	"OTU267"	"OTU268"	"OTU269"	"OTU270"	"OTU271"	"OTU272"	"OTU273"	"OTU274"	"OTU275"	"OTU276"	"OTU277"	"OTU278"	"OTU279"	"OTU280"	"OTU281"	"OTU282"	"OTU283"	"OTU284"	"OTU285"	"OTU286"	"OTU287"	"OTU288"	"OTU289"	"OTU290"	"OTU291"	"OTU292"	"OTU293"	"OTU294"	"OTU295"	"OTU296"	"OTU297"	"OTU298"	"OTU299"	"OTU300"	"OTU301"	"OTU302"	"OTU303"	"OTU304"	"OTU305"	"OTU306"	"OTU307"	"OTU308"	"OTU309"	"OTU310"	"OTU311"	"OTU312"	"OTU313"	"OTU314"	"OTU315"	"OTU316"	"OTU317"	"OTU318"	"OTU319"	"OTU320"	"OTU321"	"OTU322"	"OTU323"	"OTU324"	"OTU325"	"OTU326"	"OTU327"	"OTU328"	"OTU329"	"OTU330"	"OTU331"	"OTU332"	"OTU333"	"OTU334"	"OTU335"	"OTU336"	"OTU337"	"OTU338"	"OTU339"	"OTU340"	"OTU341"	"OTU342"	"OTU343"	"OTU344"	"OTU345"	"OTU346"	"OTU347"	"OTU348"	"OTU349"	"OTU350"	"OTU351"	"OTU352"	"OTU353"	"OTU354"	"OTU355"	"OTU356"	"OTU357"	"OTU358"	"OTU359"	"OTU360"	"OTU361"	"OTU362"	"OTU363"	"OTU364"	"OTU365"	"OTU366"	"OTU367"	"OTU368"	"OTU369"	"OTU370"	"OTU371"	"OTU372"	"OTU373"	"OTU374"	"OTU375"	"OTU376"	"OTU377"	"OTU378"	"OTU379"	"OTU380"	"OTU381"	"OTU382"	"OTU383"	"OTU384"	"OTU385"	"OTU386"	"OTU387"	"OTU388"	"OTU389"	"OTU390"	"OTU391"	"OTU392"	"OTU393"	"OTU394"	"OTU395"	"OTU396"	"OTU397"	"OTU398"	"OTU399"	"OTU400"	"OTU401"	"OTU402"	"OTU403"	"OTU404"	"OTU405"	"OTU406"	"OTU407"	"OTU408"	"OTU409"	"OTU410"	"OTU411"	"OTU412"	"OTU413"	"OTU414"	"OTU415"	"OTU416"	"OTU417"	"OTU418"	"OTU419"	"OTU420"	"OTU421"	"OTU422"	"OTU423"	"OTU424"	"OTU425"	"OTU426"	"OTU427"	"OTU428"	"OTU429"	"OTU430"	"OTU431"	"OTU432"	"OTU433"	"OTU434"	"OTU435"	"OTU436"	"OTU437"	"OTU438"	"OTU439"	"OTU440"	"OTU441"	"OTU442"	"OTU443"	"OTU444"	"OTU445"	"OTU446"	"OTU447"	"OTU448"	"OTU449"	"OTU450"	"OTU451"	"OTU452"	"OTU453"	"OTU454"	"OTU455"	"OTU456"	"OTU457"	"OTU458"	"OTU459"	"OTU460"	"OTU461"	"OTU462"	"OTU463"	"OTU464"	"OTU465"	"OTU466"	"OTU467"	"OTU468"	"OTU469"	"OTU470"	"OTU471"	"OTU472"	"OTU473"	"OTU474"	"OTU475"	"OTU476"	"OTU477"	"OTU478"	"OTU479"	"OTU480"	"OTU481"	"OTU482"	"OTU483"	"OTU484"	"OTU485"	"OTU486"	"OTU487"	"OTU488"	"OTU489"	"OTU490"	"OTU491"	"OTU492"	"OTU493"	"OTU494"	"OTU495"	"OTU496"	"OTU497"	"OTU498"	"OTU499"	"OTU500"	"OTU501"	"OTU502"	"OTU503"	"OTU504"	"OTU505"	"OTU506"	"OTU507"	"OTU508"	"OTU509"	"OTU510"	"OTU511"	"OTU512"	"OTU513"	"OTU514"	"OTU515"	"OTU516"	"OTU517"	"OTU518"	"OTU519"	"OTU520"	"OTU521"	"OTU522"	"OTU523"	"OTU524"	"OTU525"	"OTU526"	"OTU527"	"OTU528"	"OTU529"	"OTU530"	"OTU531"	"OTU532"	"OTU533"	"OTU534"	"OTU535"	"OTU536"	"OTU537"	"OTU538"	"OTU539"	"OTU540"	"OTU541"	"OTU542"	"OTU543"	"OTU544"	"OTU545"	"OTU546"	"OTU547"	"OTU548"	"OTU549"	"OTU550"	"OTU551"	"OTU552"	"OTU553"	"OTU554"	"OTU555"	"OTU556"	"OTU557"	"OTU558"	"OTU559"	"OTU560"	"OTU561"	"OTU562"	"OTU563"	"OTU564"	"OTU565"	"OTU566"	"OTU567"	"OTU568"	"OTU569"	"OTU570"	"OTU571"	"OTU572"	"OTU573"	"OTU574"	"OTU575"	"OTU576"	"OTU577"	"OTU578"	"OTU579"
"microbials10"	38901	21577	11011	9888	7493	6864	2307	6771	243	1947	7188	3083	0	2949	1321	2183	3586	1571	145	38	225	2744	1824	1953	3280	2950	1133	0	1021	1605	800	8	1909	16	1394	940	120	1866	75	1656	279	895	147	835	376	94	1517	102	800	766	146	1336	499	1299	1291	1095	950	0	468	12	132	85	0	760	146	514	68	27	0	347	104	235	0	0	100	65	356	269	0	0	0	7	0	187	606	601	256	19	0	73	0	0	0	83	0	274	0	0	139	430	0	408	399	2	0	0	427	68	354	124	133	0	0	8	99	0	30	211	80	173	39	245	188	310	0	0	282	25	99	10	327	0	91	16	29	109	0	0	0	153	0	277	0	0	0	0	0	5	227	78	0	125	112	226	0	215	215	0	37	203	198	195	0	0	0	28	164	57	166	0	159	28	10	159	0	0	26	71	144	144	95	30	0	10	0	127	127	126	41	55	0	0	95	0	55	47	0	0	48	103	8	6	10	3	95	0	81	90	5	0	24	2	0	0	0	83	27	0	72	0	78	42	4	0	0	10	73	29	70	0	56	66	0	0	47	64	63	63	4	0	0	21	0	56	56	46	55	53	53	53	0	0	0	10	0	13	26	16	0	19	0	0	0	6	46	0	0	24	44	0	0	0	6	0	32	14	8	0	0	0	37	0	0	39	0	38	0	0	14	0	0	0	23	34	0	0	21	0	0	0	32	0	31	31	0	30	30	0	0	29	0	12	28	28	0	0	27	0	23	26	26	26	0	13	25	0	0	24	9	0	0	12	23	0	0	0	0	22	0	0	0	21	21	7	21	0	0	4	20	0	3	17	15	19	0	0	6	7	3	12	18	18	0	0	0	0	4	15	17	0	0	0	0	0	0	0	0	0	0	16	16	0	12	0	0	6	15	0	0	0	0	0	14	0	0	0	9	7	0	0	0	2	5	3	12	12	3	12	0	0	0	0	11	6	0	0	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	3	7	7	7	7	7	7	3	7	7	7	0	0	0	0	0	0	0	0	0	0	0	6	6	6	0	0	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"microbials5"	46579	12233	1130	1131	2807	4310	12601	4408	0	1718	0	1723	20	1791	396	399	345	1281	2137	80	91	37	106	1366	31	45	1135	0	1634	646	1736	86	286	0	256	134	220	0	0	156	1519	628	4	288	308	15	0	642	349	616	13	0	249	0	0	118	252	44	288	16	647	860	942	0	739	3	0	0	0	115	645	491	64	0	32	676	358	235	0	0	0	0	600	108	0	0	274	552	569	77	558	0	0	52	520	49	0	0	80	44	428	31	50	0	0	0	0	297	72	0	280	81	0	375	290	0	49	54	126	188	87	103	0	34	341	0	51	9	233	74	0	0	179	52	34	195	0	0	0	140	0	0	0	263	0	0	0	50	24	43	0	115	99	0	0	0	0	214	87	0	0	0	90	0	67	150	12	110	0	109	0	46	149	0	155	151	0	76	0	0	11	0	142	22	13	0	0	0	52	69	0	116	13	111	0	24	104	25	56	0	41	9	3	3	0	95	11	0	5	90	0	0	82	5	84	0	6	7	0	0	0	0	0	64	0	64	0	9	0	0	11	0	0	0	18	0	0	0	42	60	0	37	57	0	0	9	0	0	0	0	0	0	16	22	42	37	24	0	0	30	48	48	47	0	0	0	45	21	0	0	0	0	37	43	2	23	14	41	41	41	4	40	26	0	0	0	38	0	24	37	19	35	12	0	0	5	13	33	8	0	0	0	0	0	0	0	0	30	30	0	29	14	0	0	0	0	0	0	3	0	0	0	0	13	0	0	22	0	0	24	0	5	0	23	23	4	9	0	2	0	0	0	0	14	0	21	0	0	0	13	0	3	5	0	9	4	13	12	12	0	0	0	18	18	0	0	8	0	0	17	17	10	17	12	17	3	3	17	0	0	0	16	4	16	6	0	0	5	0	0	0	8	0	14	0	0	5	0	0	0	8	7	8	4	0	0	0	0	2	0	0	8	0	5	11	0	0	10	7	0	0	0	0	5	0	5	4	9	0	0	0	0	6	3	0	8	8	8	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	5	2	7	7	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"microbials7"	40209	10125	10562	7099	7512	5861	274	1229	7083	3653	0	2049	6279	1199	3990	2611	1191	1847	1783	3728	3395	697	1499	0	0	48	625	2711	30	421	0	2439	0	2027	375	907	1529	0	1790	0	0	216	1564	495	902	1413	0	690	281	0	1222	0	588	10	0	0	0	993	272	998	178	0	0	147	0	344	781	809	826	350	60	79	720	774	626	0	0	173	676	665	658	644	51	330	0	0	58	0	0	410	0	551	549	411	0	197	504	490	269	6	33	21	0	436	438	438	0	62	0	293	0	316	394	6	0	377	291	103	159	0	233	5	161	0	0	334	0	298	0	247	0	325	49	246	248	0	301	299	296	0	290	0	272	0	261	257	253	198	0	129	245	0	25	0	226	0	0	0	82	0	0	0	97	184	111	0	0	0	0	52	0	85	0	0	0	0	124	0	0	0	37	113	0	100	116	0	0	0	32	0	120	0	7	0	55	34	0	79	0	0	54	88	90	94	0	0	0	0	80	0	63	84	4	80	0	0	50	76	11	82	0	36	73	13	75	0	0	34	0	67	0	0	66	66	0	0	0	0	16	0	58	0	0	0	0	0	0	0	0	0	52	51	35	18	8	0	0	33	49	0	0	0	0	41	0	46	0	0	0	44	44	44	0	0	9	4	19	0	0	0	0	0	14	0	39	0	0	38	0	0	17	0	0	0	34	29	0	0	25	33	0	32	0	0	31	0	0	0	0	0	0	3	0	0	28	28	0	27	0	0	0	0	26	0	0	25	3	0	15	0	24	6	0	0	0	19	14	0	20	22	22	0	0	0	0	0	21	17	0	7	17	0	0	0	10	15	0	0	4	7	0	0	0	0	18	18	6	2	0	0	0	7	0	5	0	14	14	0	17	0	0	0	0	0	10	10	0	10	15	15	15	7	0	0	14	14	0	7	13	13	5	4	0	6	0	0	9	0	10	12	12	4	0	0	0	11	0	0	3	10	10	10	10	5	0	4	5	0	9	9	9	9	3	2	0	0	0	0	0	4	8	8	8	8	8	8	8	5	0	0	0	0	0	0	2	0	0	0	0	2	5	0	0	7	7	7	7	7	5	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2
