"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV1"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	NA	NA	NA
"ASV2"	NA	NA	NA	NA	NA	NA	NA
"ASV3"	NA	NA	NA	NA	NA	NA	NA
"ASV4"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV5"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV6"	NA	NA	NA	NA	NA	NA	NA
"ASV7"	NA	NA	NA	NA	NA	NA	NA
"ASV8"	NA	NA	NA	NA	NA	NA	NA
"ASV9"	NA	NA	NA	NA	NA	NA	NA
"ASV10"	NA	NA	NA	NA	NA	NA	NA
"ASV11"	NA	NA	NA	NA	NA	NA	NA
"ASV12"	NA	NA	NA	NA	NA	NA	NA
"ASV13"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"ASV14"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	NA
"ASV15"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV16"	NA	NA	NA	NA	NA	NA	NA
"ASV17"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV18"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"ASV19"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Agaricaceae"	"Coprinus"	"Coprinus_phaeopunctatus"
"ASV20"	NA	NA	NA	NA	NA	NA	NA
"ASV21"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV22"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Agaricaceae"	"Coprinus"	"Coprinus_phaeopunctatus"
"ASV23"	NA	NA	NA	NA	NA	NA	NA
"ASV24"	NA	NA	NA	NA	NA	NA	NA
"ASV25"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"ASV26"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV27"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"ASV28"	NA	NA	NA	NA	NA	NA	NA
"ASV29"	NA	NA	NA	NA	NA	NA	NA
"ASV30"	NA	NA	NA	NA	NA	NA	NA
"ASV31"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV32"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV33"	NA	NA	NA	NA	NA	NA	NA
"ASV34"	NA	NA	NA	NA	NA	NA	NA
"ASV35"	NA	NA	NA	NA	NA	NA	NA
"ASV36"	"Fungi"	"Rozellomycota"	NA	NA	NA	NA	NA
"ASV37"	NA	NA	NA	NA	NA	NA	NA
"ASV38"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"ASV39"	NA	NA	NA	NA	NA	NA	NA
"ASV40"	NA	NA	NA	NA	NA	NA	NA
"ASV41"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV42"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV43"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"ASV44"	NA	NA	NA	NA	NA	NA	NA
"ASV45"	NA	NA	NA	NA	NA	NA	NA
"ASV46"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV47"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	NA	NA
"ASV48"	NA	NA	NA	NA	NA	NA	NA
"ASV49"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV50"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"ASV51"	NA	NA	NA	NA	NA	NA	NA
"ASV52"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	"Claroideoglomus_lamellosum"
"ASV53"	NA	NA	NA	NA	NA	NA	NA
"ASV54"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	NA	NA	NA
"ASV55"	NA	NA	NA	NA	NA	NA	NA
"ASV56"	NA	NA	NA	NA	NA	NA	NA
"ASV57"	NA	NA	NA	NA	NA	NA	NA
"ASV58"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV59"	NA	NA	NA	NA	NA	NA	NA
