"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU1"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	NA	NA	NA
"OTU2"	NA	NA	NA	NA	NA	NA	NA
"OTU3"	NA	NA	NA	NA	NA	NA	NA
"OTU4"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU5"	NA	NA	NA	NA	NA	NA	NA
"OTU6"	"Fungi"	NA	NA	NA	NA	NA	NA
"OTU7"	NA	NA	NA	NA	NA	NA	NA
"OTU8"	NA	NA	NA	NA	NA	NA	NA
"OTU9"	NA	NA	NA	NA	NA	NA	NA
"OTU10"	NA	NA	NA	NA	NA	NA	NA
"OTU11"	NA	NA	NA	NA	NA	NA	NA
"OTU12"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Agaricaceae"	"Coprinus"	"Coprinus_phaeopunctatus"
"OTU13"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU14"	NA	NA	NA	NA	NA	NA	NA
"OTU15"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"OTU16"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	NA
"OTU17"	NA	NA	NA	NA	NA	NA	NA
"OTU18"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU19"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU20"	NA	NA	NA	NA	NA	NA	NA
"OTU21"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"OTU22"	NA	NA	NA	NA	NA	NA	NA
"OTU23"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU24"	NA	NA	NA	NA	NA	NA	NA
"OTU25"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"OTU26"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU27"	NA	NA	NA	NA	NA	NA	NA
"OTU28"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"OTU29"	NA	NA	NA	NA	NA	NA	NA
"OTU30"	NA	NA	NA	NA	NA	NA	NA
"OTU31"	NA	NA	NA	NA	NA	NA	NA
"OTU32"	NA	NA	NA	NA	NA	NA	NA
"OTU33"	NA	NA	NA	NA	NA	NA	NA
"OTU34"	NA	NA	NA	NA	NA	NA	NA
