"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU35"	"Fungi"	"Rozellomycota"	NA	NA	NA	NA	NA
"OTU36"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"OTU37"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU38"	NA	NA	NA	NA	NA	NA	NA
"OTU39"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU40"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU41"	NA	NA	NA	NA	NA	NA	NA
"OTU42"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"OTU43"	NA	NA	NA	NA	NA	NA	NA
"OTU44"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	NA	NA
"OTU45"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU46"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Setophoma"	"Setophoma_terrestris"
"OTU47"	NA	NA	NA	NA	NA	NA	NA
"OTU48"	NA	NA	NA	NA	NA	NA	NA
"OTU49"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU50"	NA	NA	NA	NA	NA	NA	NA
"OTU51"	NA	NA	NA	NA	NA	NA	NA
"OTU52"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"OTU53"	NA	NA	NA	NA	NA	NA	NA
"OTU54"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU55"	NA	NA	NA	NA	NA	NA	NA
"OTU56"	NA	NA	NA	NA	NA	NA	NA
"OTU57"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU58"	NA	NA	NA	NA	NA	NA	NA
"OTU59"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"OTU60"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"OTU61"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU62"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU63"	NA	NA	NA	NA	NA	NA	NA
"OTU64"	"Fungi"	"Glomeromycota"	"Paraglomeromycetes"	"Paraglomerales"	NA	NA	NA
"OTU65"	NA	NA	NA	NA	NA	NA	NA
"OTU66"	NA	NA	NA	NA	NA	NA	NA
"OTU67"	NA	NA	NA	NA	NA	NA	NA
"OTU68"	NA	NA	NA	NA	NA	NA	NA
"OTU69"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU70"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU71"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU72"	NA	NA	NA	NA	NA	NA	NA
"OTU73"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_intraradices"
"OTU74"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU75"	NA	NA	NA	NA	NA	NA	NA
"OTU76"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU77"	NA	NA	NA	NA	NA	NA	NA
"OTU78"	NA	NA	NA	NA	NA	NA	NA
"OTU79"	NA	NA	NA	NA	NA	NA	NA
"OTU80"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU81"	NA	NA	NA	NA	NA	NA	NA
"OTU82"	NA	NA	NA	NA	NA	NA	NA
"OTU83"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU84"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	"Dominikia_iranica"
"OTU85"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	NA	NA
"OTU86"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU87"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU88"	NA	NA	NA	NA	NA	NA	NA
"OTU89"	NA	NA	NA	NA	NA	NA	NA
"OTU90"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_jasnowskae"
"OTU91"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU92"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU93"	NA	NA	NA	NA	NA	NA	NA
"OTU94"	NA	NA	NA	NA	NA	NA	NA
"OTU95"	NA	NA	NA	NA	NA	NA	NA
"OTU96"	NA	NA	NA	NA	NA	NA	NA
"OTU97"	NA	NA	NA	NA	NA	NA	NA
"OTU98"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	NA	NA
"OTU99"	"Fungi"	"Glomeromycota"	NA	NA	NA	NA	NA
"OTU100"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU101"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU102"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU103"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU104"	NA	NA	NA	NA	NA	NA	NA
"OTU105"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU106"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU107"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU108"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Periconiaceae"	"Periconia"	NA
"OTU109"	NA	NA	NA	NA	NA	NA	NA
"OTU110"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU111"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU112"	NA	NA	NA	NA	NA	NA	NA
"OTU113"	NA	NA	NA	NA	NA	NA	NA
"OTU114"	NA	NA	NA	NA	NA	NA	NA
"OTU115"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	"Diversispora"	NA
"OTU116"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU117"	NA	NA	NA	NA	NA	NA	NA
"OTU118"	NA	NA	NA	NA	NA	NA	NA
"OTU119"	NA	NA	NA	NA	NA	NA	NA
"OTU120"	NA	NA	NA	NA	NA	NA	NA
"OTU121"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU122"	NA	NA	NA	NA	NA	NA	NA
"OTU123"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	"Diversispora"	NA
"OTU124"	NA	NA	NA	NA	NA	NA	NA
"OTU125"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU126"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU127"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Xylariales_fam_Incertae_sedis"	"Fusidium"	NA
"OTU128"	NA	NA	NA	NA	NA	NA	NA
"OTU129"	NA	NA	NA	NA	NA	NA	NA
"OTU130"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU131"	NA	NA	NA	NA	NA	NA	NA
"OTU132"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Ceratocystidaceae"	"Ceratocystis"	"Ceratocystis_ethacetica"
"OTU133"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU134"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU135"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU136"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"OTU137"	NA	NA	NA	NA	NA	NA	NA
"OTU138"	NA	NA	NA	NA	NA	NA	NA
"OTU139"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Mycosphaerellaceae"	"Mycosphaerella"	"Mycosphaerella_tassiana"
"OTU140"	NA	NA	NA	NA	NA	NA	NA
"OTU141"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Nidulariaceae"	"Cyathus"	"Cyathus_stercoreus"
"OTU142"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU143"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU144"	NA	NA	NA	NA	NA	NA	NA
"OTU145"	NA	NA	NA	NA	NA	NA	NA
"OTU146"	NA	NA	NA	NA	NA	NA	NA
"OTU147"	NA	NA	NA	NA	NA	NA	NA
"OTU148"	"Fungi"	"Glomeromycota"	"Paraglomeromycetes"	"Paraglomerales"	"Paraglomeraceae"	"Paraglomus"	"Paraglomus_laccatum"
"OTU149"	NA	NA	NA	NA	NA	NA	NA
"OTU150"	NA	NA	NA	NA	NA	NA	NA
"OTU151"	"Fungi"	"Olpidiomycota"	"Olpidiomycetes"	"Olpidiales"	"Olpidiaceae"	"Olpidium"	"Olpidium_brassicae"
"OTU152"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU153"	NA	NA	NA	NA	NA	NA	NA
"OTU154"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	NA
"OTU155"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"OTU156"	NA	NA	NA	NA	NA	NA	NA
"OTU157"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU158"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU159"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU160"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Cantharellales"	"Ceratobasidiaceae"	"Ceratobasidium"	NA
"OTU161"	NA	NA	NA	NA	NA	NA	NA
"OTU162"	NA	NA	NA	NA	NA	NA	NA
"OTU163"	NA	NA	NA	NA	NA	NA	NA
"OTU164"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU165"	NA	NA	NA	NA	NA	NA	NA
"OTU166"	NA	NA	NA	NA	NA	NA	NA
"OTU167"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	"Glomus_indicum"
"OTU168"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	NA	NA
"OTU169"	NA	NA	NA	NA	NA	NA	NA
"OTU170"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU171"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU172"	NA	NA	NA	NA	NA	NA	NA
"OTU173"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU174"	NA	NA	NA	NA	NA	NA	NA
"OTU175"	NA	NA	NA	NA	NA	NA	NA
"OTU176"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"OTU177"	NA	NA	NA	NA	NA	NA	NA
"OTU178"	NA	NA	NA	NA	NA	NA	NA
"OTU179"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"OTU180"	NA	NA	NA	NA	NA	NA	NA
"OTU181"	NA	NA	NA	NA	NA	NA	NA
"OTU182"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU183"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	NA	NA	NA
"OTU184"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Cucurbitariaceae"	"Pyrenochaetopsis"	"Pyrenochaetopsis_leptospora"
"OTU185"	NA	NA	NA	NA	NA	NA	NA
"OTU186"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU187"	NA	NA	NA	NA	NA	NA	NA
"OTU188"	NA	NA	NA	NA	NA	NA	NA
"OTU189"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU190"	NA	NA	NA	NA	NA	NA	NA
"OTU191"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_jasnowskae"
"OTU192"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU193"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU194"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU195"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU196"	NA	NA	NA	NA	NA	NA	NA
"OTU197"	NA	NA	NA	NA	NA	NA	NA
"OTU198"	NA	NA	NA	NA	NA	NA	NA
"OTU199"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"OTU200"	"Fungi"	"Glomeromycota"	"Paraglomeromycetes"	"Paraglomerales"	"Paraglomeraceae"	"Paraglomus"	"Paraglomus_laccatum"
"OTU201"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Cantharellales"	"Ceratobasidiaceae"	"Rhizoctonia"	NA
"OTU202"	NA	NA	NA	NA	NA	NA	NA
"OTU203"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU204"	NA	NA	NA	NA	NA	NA	NA
"OTU205"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU206"	NA	NA	NA	NA	NA	NA	NA
"OTU207"	NA	NA	NA	NA	NA	NA	NA
"OTU208"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU209"	NA	NA	NA	NA	NA	NA	NA
"OTU210"	NA	NA	NA	NA	NA	NA	NA
"OTU211"	NA	NA	NA	NA	NA	NA	NA
"OTU212"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"OTU213"	NA	NA	NA	NA	NA	NA	NA
"OTU214"	NA	NA	NA	NA	NA	NA	NA
"OTU215"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU216"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU217"	NA	NA	NA	NA	NA	NA	NA
"OTU218"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU219"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU220"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU221"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	"Glomus_indicum"
"OTU222"	NA	NA	NA	NA	NA	NA	NA
"OTU223"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU224"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Exophiala"	"Exophiala_equina"
"OTU225"	NA	NA	NA	NA	NA	NA	NA
"OTU226"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU227"	NA	NA	NA	NA	NA	NA	NA
"OTU228"	NA	NA	NA	NA	NA	NA	NA
"OTU229"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"OTU230"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Phialophora"	"Phialophora_mustea"
"OTU231"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU232"	NA	NA	NA	NA	NA	NA	NA
"OTU233"	NA	NA	NA	NA	NA	NA	NA
"OTU234"	NA	NA	NA	NA	NA	NA	NA
"OTU235"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU236"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU237"	"Fungi"	"Basidiomycota"	"Ustilaginomycetes"	"Ustilaginales"	"Ustilaginaceae"	"Ustilago"	"Ustilago_maydis"
"OTU238"	NA	NA	NA	NA	NA	NA	NA
"OTU239"	NA	NA	NA	NA	NA	NA	NA
"OTU240"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	NA	NA
"OTU241"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU242"	NA	NA	NA	NA	NA	NA	NA
"OTU243"	NA	NA	NA	NA	NA	NA	NA
"OTU244"	NA	NA	NA	NA	NA	NA	NA
"OTU245"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"OTU246"	NA	NA	NA	NA	NA	NA	NA
"OTU247"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU248"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU249"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	"Dominikia_bernensis"
"OTU250"	NA	NA	NA	NA	NA	NA	NA
"OTU251"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU252"	NA	NA	NA	NA	NA	NA	NA
"OTU253"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU254"	NA	NA	NA	NA	NA	NA	NA
"OTU255"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU256"	NA	NA	NA	NA	NA	NA	NA
"OTU257"	NA	NA	NA	NA	NA	NA	NA
"OTU258"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU259"	NA	NA	NA	NA	NA	NA	NA
"OTU260"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU261"	NA	NA	NA	NA	NA	NA	NA
"OTU262"	NA	NA	NA	NA	NA	NA	NA
"OTU263"	"Fungi"	"Basidiomycota"	"Malasseziomycetes"	"Malasseziales"	"Malasseziaceae"	"Malassezia"	"Malassezia_restricta"
"OTU264"	NA	NA	NA	NA	NA	NA	NA
"OTU265"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU266"	"Fungi"	"Olpidiomycota"	"Olpidiomycetes"	"Olpidiales"	"Olpidiaceae"	"Olpidium"	"Olpidium_brassicae"
"OTU267"	NA	NA	NA	NA	NA	NA	NA
"OTU268"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU269"	NA	NA	NA	NA	NA	NA	NA
"OTU270"	NA	NA	NA	NA	NA	NA	NA
"OTU271"	NA	NA	NA	NA	NA	NA	NA
"OTU272"	NA	NA	NA	NA	NA	NA	NA
"OTU273"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU274"	NA	NA	NA	NA	NA	NA	NA
"OTU275"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Magnaporthales"	"Magnaporthaceae"	"Slopeiomyces"	"Slopeiomyces_cylindrosporus"
"OTU276"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU277"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU278"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Cystofilobasidiales"	"Mrakiaceae"	"Mrakia"	"Mrakia_frigida"
"OTU279"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU280"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU281"	NA	NA	NA	NA	NA	NA	NA
"OTU282"	NA	NA	NA	NA	NA	NA	NA
"OTU283"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU284"	NA	NA	NA	NA	NA	NA	NA
"OTU285"	NA	NA	NA	NA	NA	NA	NA
"OTU286"	NA	NA	NA	NA	NA	NA	NA
"OTU287"	NA	NA	NA	NA	NA	NA	NA
