"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU33"	"Fungi"	"Rozellomycota"	NA	NA	NA	NA	NA
"OTU34"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU35"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"OTU36"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU37"	NA	NA	NA	NA	NA	NA	NA
"OTU38"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU39"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU40"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU41"	NA	NA	NA	NA	NA	NA	NA
"OTU42"	NA	NA	NA	NA	NA	NA	NA
"OTU43"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	NA	NA
"OTU44"	NA	NA	NA	NA	NA	NA	NA
"OTU45"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU46"	NA	NA	NA	NA	NA	NA	NA
"OTU47"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU48"	NA	NA	NA	NA	NA	NA	NA
"OTU49"	NA	NA	NA	NA	NA	NA	NA
"OTU50"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"OTU51"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU52"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"OTU53"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU54"	NA	NA	NA	NA	NA	NA	NA
"OTU55"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"OTU56"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU57"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU58"	NA	NA	NA	NA	NA	NA	NA
"OTU59"	"Fungi"	"Glomeromycota"	"Paraglomeromycetes"	"Paraglomerales"	NA	NA	NA
"OTU60"	NA	NA	NA	NA	NA	NA	NA
"OTU61"	NA	NA	NA	NA	NA	NA	NA
"OTU62"	NA	NA	NA	NA	NA	NA	NA
"OTU63"	NA	NA	NA	NA	NA	NA	NA
"OTU64"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU65"	NA	NA	NA	NA	NA	NA	NA
"OTU66"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_intraradices"
"OTU67"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU68"	NA	NA	NA	NA	NA	NA	NA
"OTU69"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU70"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU71"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU72"	NA	NA	NA	NA	NA	NA	NA
"OTU73"	NA	NA	NA	NA	NA	NA	NA
"OTU74"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	"Dominikia_iranica"
"OTU75"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	NA	NA
"OTU76"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU77"	NA	NA	NA	NA	NA	NA	NA
"OTU78"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_jasnowskae"
"OTU79"	NA	NA	NA	NA	NA	NA	NA
"OTU80"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU81"	NA	NA	NA	NA	NA	NA	NA
"OTU82"	NA	NA	NA	NA	NA	NA	NA
"OTU83"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	NA	NA
"OTU84"	"Fungi"	"Glomeromycota"	NA	NA	NA	NA	NA
"OTU85"	NA	NA	NA	NA	NA	NA	NA
"OTU86"	NA	NA	NA	NA	NA	NA	NA
"OTU87"	NA	NA	NA	NA	NA	NA	NA
"OTU88"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU89"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU90"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	NA
"OTU91"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU92"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU93"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Periconiaceae"	"Periconia"	NA
"OTU94"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU95"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU96"	NA	NA	NA	NA	NA	NA	NA
"OTU97"	NA	NA	NA	NA	NA	NA	NA
"OTU98"	NA	NA	NA	NA	NA	NA	NA
"OTU99"	NA	NA	NA	NA	NA	NA	NA
"OTU100"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	"Diversispora"	NA
"OTU101"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU102"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU103"	NA	NA	NA	NA	NA	NA	NA
"OTU104"	NA	NA	NA	NA	NA	NA	NA
"OTU105"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU106"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	"Diversispora"	NA
"OTU107"	NA	NA	NA	NA	NA	NA	NA
"OTU108"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU109"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Xylariales_fam_Incertae_sedis"	"Fusidium"	NA
"OTU110"	NA	NA	NA	NA	NA	NA	NA
"OTU111"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU112"	NA	NA	NA	NA	NA	NA	NA
"OTU113"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Ceratocystidaceae"	"Ceratocystis"	"Ceratocystis_ethacetica"
"OTU114"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU115"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU116"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU117"	NA	NA	NA	NA	NA	NA	NA
"OTU118"	NA	NA	NA	NA	NA	NA	NA
"OTU119"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"OTU120"	NA	NA	NA	NA	NA	NA	NA
"OTU121"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Mycosphaerellaceae"	"Mycosphaerella"	"Mycosphaerella_tassiana"
"OTU122"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Nidulariaceae"	"Cyathus"	"Cyathus_stercoreus"
"OTU123"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU124"	NA	NA	NA	NA	NA	NA	NA
"OTU125"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU126"	NA	NA	NA	NA	NA	NA	NA
"OTU127"	NA	NA	NA	NA	NA	NA	NA
"OTU128"	NA	NA	NA	NA	NA	NA	NA
"OTU129"	"Fungi"	"Glomeromycota"	"Paraglomeromycetes"	"Paraglomerales"	"Paraglomeraceae"	"Paraglomus"	"Paraglomus_laccatum"
"OTU130"	NA	NA	NA	NA	NA	NA	NA
"OTU131"	"Fungi"	"Olpidiomycota"	"Olpidiomycetes"	"Olpidiales"	"Olpidiaceae"	"Olpidium"	"Olpidium_brassicae"
"OTU132"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"OTU133"	NA	NA	NA	NA	NA	NA	NA
"OTU134"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"OTU135"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU136"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU137"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Cantharellales"	"Ceratobasidiaceae"	"Ceratobasidium"	NA
"OTU138"	NA	NA	NA	NA	NA	NA	NA
"OTU139"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Cucurbitariaceae"	"Pyrenochaetopsis"	"Pyrenochaetopsis_leptospora"
"OTU140"	NA	NA	NA	NA	NA	NA	NA
"OTU141"	NA	NA	NA	NA	NA	NA	NA
"OTU142"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	"Glomus_indicum"
"OTU143"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	NA	NA
"OTU144"	NA	NA	NA	NA	NA	NA	NA
"OTU145"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	NA	NA	NA
"OTU146"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU147"	NA	NA	NA	NA	NA	NA	NA
"OTU148"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU149"	NA	NA	NA	NA	NA	NA	NA
"OTU150"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU151"	NA	NA	NA	NA	NA	NA	NA
"OTU152"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"OTU153"	NA	NA	NA	NA	NA	NA	NA
"OTU154"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU155"	NA	NA	NA	NA	NA	NA	NA
"OTU156"	NA	NA	NA	NA	NA	NA	NA
"OTU157"	NA	NA	NA	NA	NA	NA	NA
"OTU158"	NA	NA	NA	NA	NA	NA	NA
"OTU159"	NA	NA	NA	NA	NA	NA	NA
"OTU160"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU161"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_jasnowskae"
"OTU162"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU163"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU164"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Cantharellales"	"Ceratobasidiaceae"	"Rhizoctonia"	NA
"OTU165"	NA	NA	NA	NA	NA	NA	NA
"OTU166"	NA	NA	NA	NA	NA	NA	NA
"OTU167"	NA	NA	NA	NA	NA	NA	NA
"OTU168"	NA	NA	NA	NA	NA	NA	NA
"OTU169"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"OTU170"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU171"	NA	NA	NA	NA	NA	NA	NA
"OTU172"	NA	NA	NA	NA	NA	NA	NA
"OTU173"	NA	NA	NA	NA	NA	NA	NA
"OTU174"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU175"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"OTU176"	NA	NA	NA	NA	NA	NA	NA
"OTU177"	NA	NA	NA	NA	NA	NA	NA
"OTU178"	NA	NA	NA	NA	NA	NA	NA
"OTU179"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU180"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU181"	NA	NA	NA	NA	NA	NA	NA
"OTU182"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU183"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU184"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU185"	NA	NA	NA	NA	NA	NA	NA
"OTU186"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU187"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	"Glomus_indicum"
"OTU188"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU189"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU190"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Exophiala"	"Exophiala_equina"
"OTU191"	NA	NA	NA	NA	NA	NA	NA
"OTU192"	NA	NA	NA	NA	NA	NA	NA
"OTU193"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU194"	NA	NA	NA	NA	NA	NA	NA
"OTU195"	NA	NA	NA	NA	NA	NA	NA
"OTU196"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Phialophora"	"Phialophora_mustea"
"OTU197"	NA	NA	NA	NA	NA	NA	NA
"OTU198"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU199"	NA	NA	NA	NA	NA	NA	NA
"OTU200"	"Fungi"	"Basidiomycota"	"Ustilaginomycetes"	"Ustilaginales"	"Ustilaginaceae"	"Ustilago"	"Ustilago_maydis"
"OTU201"	NA	NA	NA	NA	NA	NA	NA
"OTU202"	NA	NA	NA	NA	NA	NA	NA
"OTU203"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	NA	NA
"OTU204"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU205"	NA	NA	NA	NA	NA	NA	NA
"OTU206"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"OTU207"	NA	NA	NA	NA	NA	NA	NA
"OTU208"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU209"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU210"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	"Dominikia_bernensis"
"OTU211"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU212"	NA	NA	NA	NA	NA	NA	NA
"OTU213"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU214"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU215"	NA	NA	NA	NA	NA	NA	NA
"OTU216"	NA	NA	NA	NA	NA	NA	NA
"OTU217"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU218"	NA	NA	NA	NA	NA	NA	NA
"OTU219"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU220"	NA	NA	NA	NA	NA	NA	NA
"OTU221"	"Fungi"	"Basidiomycota"	"Malasseziomycetes"	"Malasseziales"	"Malasseziaceae"	"Malassezia"	"Malassezia_restricta"
"OTU222"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Cystofilobasidiales"	"Mrakiaceae"	"Mrakia"	"Mrakia_frigida"
"OTU223"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU224"	"Fungi"	"Olpidiomycota"	"Olpidiomycetes"	"Olpidiales"	"Olpidiaceae"	"Olpidium"	"Olpidium_brassicae"
"OTU225"	NA	NA	NA	NA	NA	NA	NA
"OTU226"	NA	NA	NA	NA	NA	NA	NA
"OTU227"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	NA	NA
"OTU228"	NA	NA	NA	NA	NA	NA	NA
"OTU229"	NA	NA	NA	NA	NA	NA	NA
"OTU230"	NA	NA	NA	NA	NA	NA	NA
"OTU231"	"Fungi"	"Glomeromycota"	"Paraglomeromycetes"	"Paraglomerales"	"Paraglomeraceae"	"Paraglomus"	"Paraglomus_laccatum"
"OTU232"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Magnaporthales"	"Magnaporthaceae"	"Slopeiomyces"	"Slopeiomyces_cylindrosporus"
"OTU233"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"OTU234"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU235"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU236"	NA	NA	NA	NA	NA	NA	NA
"OTU237"	NA	NA	NA	NA	NA	NA	NA
"OTU238"	NA	NA	NA	NA	NA	NA	NA
"OTU239"	NA	NA	NA	NA	NA	NA	NA
"OTU240"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU241"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	NA	NA	NA
"OTU242"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU243"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU244"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU245"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Tremellaceae"	"Bulleromyces"	"Bulleromyces_albus"
"OTU246"	NA	NA	NA	NA	NA	NA	NA
"OTU247"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"OTU248"	NA	NA	NA	NA	NA	NA	NA
"OTU249"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Psathyrellaceae"	"Coprinopsis"	"Coprinopsis_urticicola"
"OTU250"	NA	NA	NA	NA	NA	NA	NA
"OTU251"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"OTU252"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	NA	NA
"OTU253"	NA	NA	NA	NA	NA	NA	NA
"OTU254"	NA	NA	NA	NA	NA	NA	NA
"OTU255"	"Fungi"	"Glomeromycota"	NA	NA	NA	NA	NA
"OTU256"	NA	NA	NA	NA	NA	NA	NA
"OTU257"	NA	NA	NA	NA	NA	NA	NA
"OTU258"	"Fungi"	"Glomeromycota"	NA	NA	NA	NA	NA
"OTU259"	NA	NA	NA	NA	NA	NA	NA
"OTU260"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	NA
"OTU261"	NA	NA	NA	NA	NA	NA	NA
"OTU262"	NA	NA	NA	NA	NA	NA	NA
"OTU263"	NA	NA	NA	NA	NA	NA	NA
"OTU264"	NA	NA	NA	NA	NA	NA	NA
"OTU265"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Bulleribasidiaceae"	"Vishniacozyma"	"Vishniacozyma_victoriae"
"OTU266"	NA	NA	NA	NA	NA	NA	NA
"OTU267"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_geosporum"
"OTU268"	NA	NA	NA	NA	NA	NA	NA
"OTU269"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"OTU270"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"OTU271"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"OTU272"	NA	NA	NA	NA	NA	NA	NA
"OTU273"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Bulleribasidiaceae"	"Vishniacozyma"	"Vishniacozyma_victoriae"
"OTU274"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Neosetophoma"	"Neosetophoma_rosigena"
"OTU275"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	"Diversispora"	NA
"OTU276"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	NA	NA
"OTU277"	NA	NA	NA	NA	NA	NA	NA
"OTU278"	NA	NA	NA	NA	NA	NA	NA
"OTU279"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Helotiaceae"	"Phaeohelotium"	NA
